Schulnummer;Schultyp;Name;Strasse;PLZ;Ort;Homepage;Link
"8811";"Grund- u. Mittelschule";"St.-Michael-Schule, Katholische Freie Grundschule Neu-Ulm des Schulwerks der Diözese Augsburg";"Offenhauser Str. 20";"89231";"Neu-Ulm";"www.st-michael-gs.de";"/schule/8811.html"
"0285";"Gymnasium";"Bertha-von-Suttner-Gymnasium Neu-Ulm  ";"Heerstr. 117";"89233";"Neu-Ulm";"https://www.bvsg-nu.info";"/schule/0285.html"
"0691";"Realschule";"Inge-Aicher-Scholl-Realschule Staatliche Realschule Neu-Ulm-Pfuhl  ";"Heerstr. 115";"89233";"Neu-Ulm";"www.realschule-pfuhl.de";"/schule/0691.html"
"8026";"Volksschule zur sonderp?dagog. F?rderung";"Rupert-Egenberger-Schule Sonderpädagogisches Förderzentrum Neu-Ulm ";"Heerstr. 113";"89233";"Neu-Ulm";"www.foerderzentrum-neu-ulm.de";"/schule/8026.html"
"8587";"Grund- u. Mittelschule";"Grundschule Neu-Ulm Reutti   ";"Schlossstr. 3";"89233";"Neu-Ulm";" ";"/schule/8587.html"
"8754";"Grund- u. Mittelschule";"Grundschule Neu-Ulm-Gerlenhofen   ";"Hildegardstr. 8";"89233";"Neu-Ulm";" ";"/schule/8754.html"
"8763";"Grund- u. Mittelschule";"Grundschule Neu-Ulm-Pfuhl   ";"Bodelschwinghstr. 21";"89233";"Neu-Ulm";"www.gs-pfuhl.de";"/schule/8763.html"
"8764";"Grund- u. Mittelschule";"Karl-Salzmann-Mittelschule Neu-Ulm/Pfuhl  ";"Heerstr. 111";"89233";"Neu-Ulm";"www.karl-salzmann-mittelschule.de";"/schule/8764.html"
"8765";"Grund- u. Mittelschule";"Grundschule Neu-Ulm-Burlafingen   ";"Waidmannstr. 38";"89233";"Neu-Ulm";" ";"/schule/8765.html"
"8025";"Volksschule zur sonderp?dagog. F?rderung";"Lindenhofschule Senden Priv. Förderzentrum Förderschwerpunkt geist.Entwicklung der Lebenshilfe Donau-Iller e.V.";"Holsteinerstr. 1";"89250";"Senden";"www.hpz-senden.de";"/schule/8025.html"
"8320";"Wirtschaftsschule";"Städtische Wirtschaftsschule Senden  ";"Lange Str. 45";"89250";"Senden";"www.wiss-senden.de";"/schule/8320.html"
"8767";"Grund- u. Mittelschule";"Bürgermeister-Engelhart-Grundschule Senden  ";"Illerstr. 41";"89250";"Senden";"www.engelhartschule.de";"/schule/8767.html"
"8768";"Grund- u. Mittelschule";"Werner-Ziegler-Mittelschule Senden  ";"Lange Straße 49";"89250";"Senden";"https://www.wzmssenden.com/";"/schule/8768.html"
"8769";"Grund- u. Mittelschule";"Grundschule Ay a.d.Iller   ";"Schulstr. 5";"89250";"Senden";"www.gs-ay.de";"/schule/8769.html"
"8770";"Grund- u. Mittelschule";"Grundschule Wullenstetten   ";"Pestalozzistr. 1";"89250";"Senden";"www.gs-wullenstetten.de";"/schule/8770.html"
"0121";"Gymnasium";"Kolleg der Schulbrüder Illertissen - Gymnasium - des Schulwerks der Diözese Augsburg ";"Dietenheimer Str. 70";"89257";"Illertissen";"www.kolleg-illertissen.de";"/schule/0121.html"
"0498";"Realschule";"Johannes-von-La Salle-Realschule Illertissen des Schulwerks der Diözese Augsburg ";"Dietenheimer Str. 68";"89257";"Illertissen";"www.rs-illertissen.de";"/schule/0498.html"
"8061";"Berufsschule";"Staatl. Berufsschule Illertissen  ";"Franz-Mang-Str. 26";"89257";"Illertissen";"www.bsill.de";"/schule/8061.html"
"8062";"Berufsfachs. f. Hauswirtschaft u. Sozialberufe";"Staatl. Berufsfachschule für Ernährung und Versorgung Illertissen ";"Franz-Mang-Str. 26";"89257";"Illertissen";"www.bsill.de";"/schule/8062.html"
"8194";"Volksschule zur sonderp?dagog. F?rderung";"Wilhelm-Busch-Schule Sonderpädagogisches Förderzentrum Illertissen-Weißenhorn ";"Jedesheimer Kirchenweg 2";"89257";"Illertissen";"www.wbs-illertissen.de";"/schule/8194.html"
"8742";"Grund- u. Mittelschule";"Karl-August-Forster-Grundschule Au   ";"Dorfstraße 14";"89257";"Illertissen";"www.grundschule-au.de";"/schule/8742.html"
"8747";"Grund- u. Mittelschule";"Bischof-Ulrich-Grundschule Illertissen  ";"Geschwister-Scholl-Straße 4";"89257";"Illertissen";"www.bugs-illertissen.de";"/schule/8747.html"
